Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9
0.0,1.42,,
0.02,1.42,-0.01,
0.04,1.42,-0.01,1.0
0.06,1.42,0.03,1.46
0.08,1.42,0.07,1.0
0.1,1.42,0.08,-0.42
0.12,1.42,0.05,-1.73
0.14,1.42,-0.01,-1.92
0.16,1.42,-0.05,-0.78
0.18,1.42,-0.05,0.86
0.2,1.42,0.0,1.66
0.22,1.42,0.05,1.17
0.24,1.42,0.06,-0.06
0.26,1.42,0.03,-0.64
0.28,1.42,0.01,-0.22
0.3,1.42,0.02,0.33
0.32,1.42,0.04,0.26
0.34,1.43,0.04,-0.34
0.36,1.43,0.02,-0.72
0.38,1.43,0.0,-0.83
0.4,1.43,-0.01,-0.61
0.42,1.43,-0.03,-0.16
0.44,1.42,-0.02,0.02
0.46,1.42,-0.01,0.22
0.48,1.43,-0.03,0.32
0.5,1.42,0.01,0.55
0.52,1.42,0.01,0.06
0.54,1.43,0.02,-1.29
0.56,1.42,-0.04,-2.37
0.58,1.43,-0.1,-3.35
0.6,1.42,-0.15,-4.24
0.62,1.42,-0.27,-5.9
0.64,1.41,-0.38,-6.6
0.66,1.4,-0.58,-4.97
0.68,1.39,-0.63,-2.11
0.7,1.37,-0.61,-0.56
0.72,1.37,-0.6,-1.46
0.74,1.35,-0.67,-1.89
0.76,1.33,-0.75,-0.72
0.78,1.32,-0.7,0.54
0.8,1.31,-0.67,0.49
0.82,1.3,-0.69,-0.56
0.84,1.28,-0.69,-1.4
0.86,1.26,-0.74,-2.04
0.88,1.25,-0.79,-2.01
0.9,1.23,-0.84,-0.61
0.92,1.22,-0.83,0.52
0.94,1.2,-0.77,0.32
0.96,1.19,-0.8,-0.7
0.98,1.17,-0.83,-1.19
1.0,1.15,-0.85,-1.01
1.02,1.14,-0.86,-1.34
1.04,1.12,-0.89,-1.67
1.06,1.1,-0.95,-1.34
1.08,1.08,-0.96,-0.65
1.1,1.06,-0.96,-0.17
1.12,1.04,-0.96,-0.1
1.14,1.02,-0.97,-0.04
1.16,1.0,-0.96,-0.01
1.18,0.98,-0.96,-0.27
1.2,0.97,-0.97,-0.52
1.22,0.94,-0.99,-0.4
1.24,0.93,-1.0,-0.2
1.26,0.91,-0.98,-0.34
1.28,0.89,-1.0,-0.36
1.3,0.87,-1.03,0.02
1.32,0.84,-1.0,0.76
1.34,0.82,-0.99,2.2
1.36,0.81,-0.95,3.88
1.38,0.78,-0.81,3.83
1.4,0.77,-0.71,0.4
1.42,0.77,-0.77,-3.98
1.44,0.74,-0.94,-2.3
1.46,0.72,-1.05,2.7
1.48,0.7,-0.7,2.54
1.5,0.68,-0.69,-4.83
1.52,0.7,-1.0,-10.79
1.54,0.64,-1.33,-5.72
1.56,0.62,-1.35,2.61
1.58,0.6,-1.02,5.9
1.6,0.58,-1.0,3.46
1.62,0.56,-0.98,0.34
1.64,0.54,-0.98,-0.12
1.66,0.52,-0.99,-0.24
1.68,0.5,-0.99,-0.15
1.7,0.48,-1.0,0.12
1.72,0.46,-1.0,1.51
1.74,0.44,-0.97,3.68
1.76,0.42,-0.84,4.49
1.78,0.4,-0.72,77.12
1.8,0.4,-0.72,224.32
