"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.320,1.53,0.00,-0.05,0.320,1.44,0.49,3.51,0.320,1.47,-0.05,-0.27,0.320,1.53,-0.05,0.39,0.320,1.52,-0.01,-0.63,0.320,1.49,-0.18,1.88,0.320,1.40,-0.32,-9.32,0.320,1.45,-0.06,-0.84,0.320,1.47,0.07,-0.17,0.320,1.44,-0.28,2.33
0.340,1.53,0.00,-0.10,0.340,1.45,0.43,-6.83,0.340,1.47,-0.08,-0.06,0.340,1.53,-0.03,0.98,0.340,1.52,-0.03,-1.29,0.340,1.48,-0.06,3.41,0.340,1.40,-0.63,-9.76,0.340,1.46,-0.10,-2.35,0.340,1.47,0.06,-1.06,0.340,1.44,-0.18,5.03
0.360,1.53,0.00,-0.17,0.360,1.50,0.07,-14.53,0.360,1.47,-0.10,2.34,0.360,1.53,-0.01,1.04,0.360,1.52,-0.05,-1.79,0.360,1.49,0.04,1.76,0.360,1.39,-0.75,-8.83,0.360,1.45,-0.09,-5.35,0.360,1.47,0.09,-4.84,0.360,1.43,-0.04,4.48
0.380,1.53,-0.01,-0.27,0.380,1.44,-0.35,-8.97,0.380,1.47,-0.01,5.03,0.380,1.53,0.02,1.78,0.380,1.52,-0.12,-1.47,0.380,1.49,0.01,-0.55,0.380,1.37,-0.94,-7.55,0.380,1.45,-0.27,-7.72,0.380,1.47,-0.04,-7.08,0.380,1.43,0.08,-0.23
0.400,1.53,-0.02,-0.32,0.400,1.46,-0.48,1.16,0.400,1.47,0.16,4.53,0.400,1.53,0.03,2.16,0.400,1.52,-0.14,-1.09,0.400,1.49,-0.04,-1.07,0.400,1.35,-1.07,-6.76,0.400,1.45,-0.53,-6.31,0.400,1.48,-0.41,-4.73,0.400,1.43,-0.01,-5.09
0.420,1.53,-0.02,-0.30,0.420,1.45,-0.10,7.10,0.420,1.48,0.26,0.46,0.420,1.54,0.15,0.45,0.420,1.51,-0.12,-2.94,0.420,1.49,-0.05,-0.06,0.420,1.33,-1.22,-4.67,0.420,1.42,-0.59,-1.01,0.420,1.46,-0.29,-1.84,0.420,1.44,-0.24,-7.32
0.440,1.53,-0.03,0.35,0.440,1.44,-0.04,3.36,0.440,1.48,0.17,-3.67,0.440,1.53,0.12,-2.48,0.440,1.52,-0.18,-8.15,0.440,1.49,-0.03,1.09,0.440,1.30,-1.28,-3.54,0.440,1.41,-0.53,2.61,0.440,1.44,-0.23,-5.61,0.440,1.42,-0.33,-7.23
0.460,1.53,-0.03,1.20,0.460,1.45,0.07,-6.94,0.460,1.48,0.04,-5.29,0.460,1.55,-0.02,-4.45,0.460,1.51,-0.43,-13.18,0.460,1.48,-0.01,1.34,0.460,1.27,-1.29,-4.35,0.460,1.42,-0.39,3.26,0.460,1.48,-0.44,-14.59,0.460,1.42,-0.48,-7.41
0.480,1.53,0.03,0.91,0.480,1.45,-0.24,-15.53,0.480,1.48,-0.06,-6.34,0.480,1.53,-0.10,-3.53,0.480,1.50,-0.81,-13.90,0.480,1.49,0.05,-0.43,0.480,1.25,-1.42,-5.80,0.480,1.39,-0.42,2.57,0.480,1.43,-0.93,-15.86,0.480,1.42,-0.64,-6.41
0.500,1.53,0.06,-0.80,0.500,1.44,-0.73,-19.11,0.500,1.48,-0.15,-7.87,0.500,1.54,-0.16,-3.82,0.500,1.48,-1.07,-10.24,0.500,1.49,0.03,-5.39,0.500,1.22,-1.60,-5.01,0.500,1.40,-0.32,-0.65,0.500,1.41,-1.34,-8.67,0.500,1.39,-0.82,-2.55
