Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
,,,,,,,,,,,,0.62,1.4,-0.53,-0.91,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.64,1.39,-0.54,-1.75,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.66,1.38,-0.61,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.68,1.37,-0.66,-0.88,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.7,1.35,-0.65,0.16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.72,1.34,-0.61,-0.34,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.74,1.33,-0.64,-1.75,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.76,1.32,-0.71,-2.14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.78,1.3,-0.76,-1.09,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.8,1.29,-0.75,0.04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.82,1.27,-0.73,0.38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.84,1.26,-0.73,0.03,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.86,1.24,-0.73,-0.43,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.88,1.23,-0.75,-0.77,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9,1.21,-0.77,-0.96,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.92,1.2,-0.79,-0.36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.94,1.18,-0.81,0.77,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.96,1.16,-0.75,0.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.98,1.15,-0.71,-1.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,1.14,-0.78,-3.52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.02,1.12,-0.91,-3.39,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.04,1.1,-0.98,-0.94,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.06,1.08,-0.93,1.03,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.08,1.06,-0.88,1.09,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.1,1.04,-0.88,0.21,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.12,1.03,-0.89,-0.18,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.14,1.01,-0.89,-0.07,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.16,0.99,-0.89,-0.12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.18,0.97,-0.89,-0.54,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.2,0.96,-0.91,-1.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.22,0.94,-0.94,-1.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.24,0.92,-0.96,-0.52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.26,0.9,-0.96,-0.03,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.28,0.88,-0.95,0.12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.3,0.86,-0.96,0.16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.32,0.84,-0.95,0.16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.34,0.82,-0.94,-0.15,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.36,0.8,-0.95,-0.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.38,0.78,-0.98,-1.13,,,,,,,,,,,,,,,,,,,,,,,,
