Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4
0.0,1.45,,
0.02,1.45,0.1,
0.04,1.45,0.1,-0.75
0.06,1.45,0.07,-2.06
0.08,1.45,0.02,-3.31
0.1,1.46,-0.07,-4.11
0.12,1.45,-0.16,-3.77
0.14,1.45,-0.24,-1.94
0.16,1.44,-0.26,0.74
0.18,1.44,-0.2,2.81
0.2,1.43,-0.11,3.31
0.22,1.43,-0.05,2.46
0.24,1.43,-0.01,1.4
0.26,1.43,-0.01,0.85
0.28,1.43,0.01,1.08
0.3,1.43,0.03,2.09
0.32,1.43,0.08,2.23
0.34,1.43,0.17,-0.17
0.36,1.44,0.13,-2.1
0.38,1.45,-0.05,-0.33
0.4,1.44,0.05,3.67
0.42,1.43,0.22,4.23
0.44,1.46,0.31,-0.42
0.46,1.45,0.2,-5.05
0.48,1.46,0.01,-7.84
0.5,1.46,-0.09,-8.25
0.52,1.45,-0.34,-6.84
0.54,1.44,-0.44,-4.48
0.56,1.43,-0.46,-2.21
0.58,1.43,-0.51,-1.35
0.6,1.41,-0.53,-0.84
0.62,1.4,-0.53,-0.91
0.64,1.39,-0.54,-1.75
0.66,1.38,-0.61,-2.0
0.68,1.37,-0.66,-0.88
0.7,1.35,-0.65,0.16
0.72,1.34,-0.61,-0.34
0.74,1.33,-0.64,-1.75
0.76,1.32,-0.71,-2.14
0.78,1.3,-0.76,-1.09
0.8,1.29,-0.75,0.04
0.82,1.27,-0.73,0.38
0.84,1.26,-0.73,0.03
0.86,1.24,-0.73,-0.43
0.88,1.23,-0.75,-0.77
0.9,1.21,-0.77,-0.96
0.92,1.2,-0.79,-0.36
0.94,1.18,-0.81,0.77
0.96,1.16,-0.75,0.81
0.98,1.15,-0.71,-1.13
1.0,1.14,-0.78,-3.52
1.02,1.12,-0.91,-3.39
1.04,1.1,-0.98,-0.94
1.06,1.08,-0.93,1.03
1.08,1.06,-0.88,1.09
1.1,1.04,-0.88,0.21
1.12,1.03,-0.89,-0.18
1.14,1.01,-0.89,-0.07
1.16,0.99,-0.89,-0.12
1.18,0.97,-0.89,-0.54
1.2,0.96,-0.91,-1.05
1.22,0.94,-0.94,-1.1
1.24,0.92,-0.96,-0.52
1.26,0.9,-0.96,-0.03
1.28,0.88,-0.95,0.12
1.3,0.86,-0.96,0.16
1.32,0.84,-0.95,0.16
1.34,0.82,-0.94,-0.15
1.36,0.8,-0.95,-0.8
1.38,0.78,-0.98,-1.13
1.4,0.76,-1.01,-1.07
1.42,0.74,-1.02,-0.96
1.44,0.72,-1.04,-0.85
1.46,0.7,-1.06,-0.51
1.48,0.68,-1.07,0.08
1.5,0.66,-1.06,0.43
1.52,0.64,-1.04,0.36
1.54,0.62,-1.04,-0.01
1.56,0.6,-1.04,-0.38
1.58,0.58,-1.06,-0.47
1.6,0.56,-1.07,-0.25
1.62,0.53,-1.07,0.07
1.64,0.51,-1.06,0.21
1.66,0.49,-1.06,0.16
1.68,0.47,-1.06,0.28
1.7,0.45,-1.05,0.61
1.72,0.43,-1.03,0.72
1.74,0.41,-1.01,0.25
1.76,0.39,-1.01,-0.56
1.78,0.37,-1.04,-1.09
1.8,0.35,-1.07,-1.17
1.82,0.32,-1.09,-0.89
1.84,0.3,-1.11,-0.35
1.86,0.28,-1.11,0.3
1.88,0.26,-1.09,0.61
1.9,0.24,-1.07,0.59
1.92,0.22,-1.07,0.59
1.94,0.19,-1.05,1.81
1.96,0.17,-1.03,5.46
1.98,0.15,-0.89,10.32
2.0,0.13,-0.58,11.62
2.02,0.13,-0.27,101.8
2.04,0.13,-0.26,285.62
