Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8
0.0,1.45,,
0.02,1.45,-0.01,
0.04,1.45,0.0,0.3
0.06,1.45,0.01,0.09
0.08,1.45,0.0,-0.02
0.1,1.45,0.0,0.05
0.12,1.45,0.0,0.18
0.14,1.45,0.01,0.23
0.16,1.45,0.02,0.26
0.18,1.46,0.02,0.37
0.2,1.46,0.03,0.25
0.22,1.46,0.04,-0.43
0.24,1.46,0.02,-1.35
0.26,1.46,-0.03,-1.3
0.28,1.46,-0.06,-0.68
0.3,1.45,-0.03,-0.55
0.32,1.45,-0.06,-0.84
0.34,1.46,-0.1,-2.35
0.36,1.45,-0.09,-5.35
0.38,1.45,-0.27,-7.72
0.4,1.45,-0.53,-6.31
0.42,1.42,-0.59,-1.01
0.44,1.41,-0.53,2.61
0.46,1.42,-0.39,3.26
0.48,1.39,-0.42,2.57
0.5,1.4,-0.32,-0.65
0.52,1.38,-0.3,-6.07
0.54,1.39,-0.59,-11.26
0.56,1.36,-0.87,-11.04
0.58,1.34,-1.09,-6.62
0.6,1.32,-1.12,-3.07
0.62,1.3,-1.14,-2.21
0.64,1.27,-1.19,-3.21
0.66,1.25,-1.28,-3.71
0.68,1.22,-1.36,-3.08
0.7,1.2,-1.42,-2.25
0.72,1.17,-1.43,-2.09
0.74,1.14,-1.48,-2.23
0.76,1.11,-1.54,-1.92
0.78,1.08,-1.57,-0.97
0.8,1.04,-1.57,-0.48
0.82,1.02,-1.57,-0.77
0.84,0.98,-1.6,-1.35
0.86,0.95,-1.64,-1.68
0.88,0.92,-1.67,-1.36
0.9,0.88,-1.7,-0.53
0.92,0.85,-1.7,0.21
0.94,0.82,-1.67,-0.1
0.96,0.78,-1.67,-1.57
0.98,0.75,-1.74,-3.02
1.0,0.71,-1.82,-2.87
1.02,0.67,-1.88,-1.18
1.04,0.64,-1.87,0.47
1.06,0.6,-1.83,0.9
1.08,0.56,-1.82,0.24
1.1,0.53,-1.83,-0.54
1.12,0.49,-1.85,-0.92
1.14,0.45,-1.87,-0.94
1.16,0.42,-1.89,-0.82
1.18,0.38,-1.9,-0.75
1.2,0.34,-1.91,-0.75
1.22,0.3,-1.93,-0.74
1.24,0.26,-1.95,0.68
1.26,0.22,-1.96,6.02
1.28,0.19,-1.81,15.57
1.3,0.15,-1.35,22.09
1.32,0.13,-0.69,276.28
1.34,0.12,-0.43,526.02
