Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
1.0,0.64,-3.0,-2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02,0.58,-3.05,-2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04,0.51,-3.08,-3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06,0.45,-3.15,-3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.08,0.39,-3.26,-6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,0.32,-3.34,163.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12,0.26,-3.62,539.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.02,1.47,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.04,1.49,0.54,-24.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.06,1.49,0.1,-18.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.08,1.49,-0.24,-13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.1,1.48,-0.43,-6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.12,1.47,-0.5,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.14,1.46,-0.42,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.16,1.45,-0.28,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.18,1.45,-0.14,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.2,1.45,-0.07,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.22,1.45,-0.06,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.24,1.44,-0.05,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.26,1.44,-0.01,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.28,1.44,0.02,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.3,1.45,0.05,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.32,1.44,0.49,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.34,1.45,0.43,-6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.36,1.5,0.07,-14.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.38,1.44,-0.35,-8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.4,1.46,-0.48,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.42,1.45,-0.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.44,1.44,-0.04,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.46,1.45,0.07,-6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.48,1.45,-0.24,-15.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,1.44,-0.73,-19.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.52,1.42,-1.11,-15.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.54,1.4,-1.36,-10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.56,1.36,-1.49,-6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.58,1.33,-1.58,-3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.6,1.3,-1.62,-3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.62,1.27,-1.69,-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.64,1.23,-1.79,-5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.66,1.2,-1.9,-5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.68,1.16,-2.01,-6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.7,1.12,-2.13,-6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.72,1.07,-2.29,-6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.74,1.03,-2.44,-5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.76,0.97,-2.53,-3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.78,0.92,-2.56,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.8,0.87,-2.54,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.82,0.82,-2.55,-1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.84,0.77,-2.59,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.86,0.72,-2.69,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.88,0.66,-2.78,-3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.9,0.61,-2.83,-2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.92,0.55,-2.87,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.94,0.49,-2.9,-2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.96,0.43,-2.96,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.98,0.37,-3.03,-3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.0,0.31,-3.09,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.02,0.25,-3.14,15.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.04,0.19,-2.54,138.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.06,0.12,-1.65,356.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.02,1.44,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.04,1.47,0.24,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.06,1.47,0.39,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.08,1.48,0.12,-3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.1,1.48,0.1,-3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.12,1.48,0.06,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.14,1.48,0.08,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.16,1.48,0.07,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.18,1.48,0.06,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2,1.48,0.02,-2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.22,1.48,-0.06,-2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.24,1.48,-0.13,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.26,1.48,-0.14,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.28,1.47,-0.09,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.3,1.47,-0.06,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.32,1.47,-0.05,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.34,1.47,-0.08,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.36,1.47,-0.1,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.38,1.47,-0.01,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.4,1.47,0.16,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.42,1.48,0.26,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.44,1.48,0.17,-3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.46,1.48,0.04,-5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.48,1.48,-0.06,-6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.5,1.48,-0.15,-7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.52,1.47,-0.4,-9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.54,1.47,-0.56,-9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.56,1.45,-0.77,-9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.58,1.44,-0.96,-8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.6,1.41,-1.1,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.62,1.39,-1.25,-8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.64,1.37,-1.4,-9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.66,1.34,-1.68,-8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.68,1.3,-1.82,-6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.7,1.26,-1.89,-3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.72,1.22,-1.93,-3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.74,1.18,-2.01,-4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.76,1.14,-2.11,-4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.78,1.1,-2.22,-4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.8,1.05,-2.31,-3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.82,1.01,-2.37,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.84,0.96,-2.41,-2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.86,0.91,-2.47,-2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.88,0.86,-2.52,-2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9,0.81,-2.57,-2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.92,0.76,-2.61,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.94,0.7,-2.66,-2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.96,0.65,-2.71,-2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.98,0.6,-2.77,-2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,0.54,-2.81,-2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.02,0.48,-2.85,-1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.04,0.43,-2.88,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.06,0.37,-2.92,-1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.08,0.31,-2.95,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.1,0.25,-2.99,174.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.12,0.19,-2.8,548.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.02,1.54,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04,1.54,-0.01,1.03,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.06,1.54,0.03,0.54,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.08,1.54,0.05,-0.82,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.1,1.54,0.0,-2.04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.12,1.54,-0.07,-1.45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.14,1.54,-0.09,0.17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.16,1.54,-0.03,1.08,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.18,1.54,-0.02,1.03,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.2,1.54,-0.01,0.91,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.22,1.53,0.01,0.96,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.24,1.54,0.04,0.12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.26,1.54,0.04,-1.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.28,1.54,-0.03,-1.55,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.3,1.54,-0.05,-0.75,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.32,1.53,-0.05,0.39,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.34,1.53,-0.03,0.98,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.36,1.53,-0.01,1.04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.38,1.53,0.02,1.78,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.4,1.53,0.03,2.16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.42,1.54,0.15,0.45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.44,1.53,0.12,-2.48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.46,1.55,-0.02,-4.45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.48,1.53,-0.1,-3.53,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.5,1.54,-0.16,-3.82,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.52,1.54,-0.16,-6.47,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.54,1.53,-0.42,-9.37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.56,1.52,-0.62,-10.65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.58,1.5,-0.82,-9.69,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.6,1.49,-1.03,-8.73,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.62,1.46,-1.17,-7.33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.64,1.44,-1.32,-5.99,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.66,1.41,-1.41,-4.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.68,1.38,-1.51,-3.22,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.7,1.35,-1.56,-2.83,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.72,1.32,-1.56,-5.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.74,1.29,-1.7,-8.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.76,1.26,-1.97,-9.29,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.78,1.21,-2.17,-5.64,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.8,1.16,-2.2,-1.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.82,1.12,-2.14,-0.36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.84,1.08,-2.18,-1.77,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.86,1.03,-2.24,-3.12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.88,0.99,-2.32,-2.88,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9,0.94,-2.38,-2.05,,,,,,,,,,,,,,,,,,,,,,,,
