Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9
0.0,1.49,,
0.02,1.49,-0.03,
0.04,1.49,-0.02,0.72
0.06,1.48,0.0,0.48
0.08,1.49,0.01,-0.02
0.1,1.49,0.000847,-0.47
0.12,1.49,-0.02,-0.71
0.14,1.48,-0.02,-1.05
0.16,1.48,-0.05,-1.96
0.18,1.48,-0.1,-3.0
0.2,1.48,-0.18,-2.68
0.22,1.48,-0.25,-0.29
0.24,1.47,-0.22,3.32
0.26,1.46,-0.1,5.26
0.28,1.47,0.06,4.06
0.3,1.47,0.1,1.36
0.32,1.47,0.07,-0.17
0.34,1.47,0.06,-1.06
0.36,1.47,0.09,-4.84
0.38,1.47,-0.04,-7.08
0.4,1.48,-0.41,-4.73
0.42,1.46,-0.29,-1.84
0.44,1.44,-0.23,-5.61
0.46,1.48,-0.44,-14.59
0.48,1.43,-0.93,-15.86
0.5,1.41,-1.34,-8.67
0.52,1.39,-1.24,0.44
0.54,1.36,-1.18,4.59
0.56,1.34,-1.04,2.61
0.58,1.32,-0.99,-0.41
0.6,1.3,-1.12,-2.11
0.62,1.28,-1.15,-1.41
0.64,1.25,-1.13,-0.18
0.66,1.24,-1.15,-0.38
0.68,1.21,-1.14,-1.07
0.7,1.18,-1.18,-1.98
0.72,1.17,-1.22,-2.73
0.74,1.14,-1.3,-2.21
0.76,1.11,-1.35,-1.24
0.78,1.08,-1.32,-0.62
0.8,1.06,-1.35,-0.76
0.82,1.03,-1.37,-0.19
0.84,1.0,-1.39,1.04
0.86,0.97,-1.31,1.52
0.88,0.95,-1.29,0.29
0.9,0.93,-1.29,-2.19
0.92,0.89,-1.38,-3.68
0.94,0.88,-1.49,-2.74
0.96,0.84,-1.53,0.78
0.98,0.81,-1.46,2.88
1.0,0.78,-1.31,0.83
1.02,0.76,-1.36,-3.57
1.04,0.73,-1.53,-5.41
1.06,0.69,-1.67,-2.88
1.08,0.66,-1.65,0.91
1.1,0.63,-1.58,4.12
1.12,0.6,-1.5,4.82
1.14,0.57,-1.32,1.95
1.16,0.54,-1.34,-3.2
1.18,0.53,-1.52,-5.74
1.2,0.48,-1.69,-2.01
1.22,0.45,-1.66,3.71
1.24,0.41,-1.44,7.01
1.26,0.39,-1.32,6.4
1.28,0.36,-1.18,3.24
1.3,0.34,-1.15,0.0
1.32,0.32,-1.23,-1.56
1.34,0.29,-1.28,-0.92
1.36,0.26,-1.24,-1.0
1.38,0.25,-1.25,-3.14
1.4,0.22,-1.38,-3.85
1.42,0.19,-1.51,93.35
1.44,0.16,-1.44,288.64
