Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6
0.0,1.49,,
0.02,1.48,0.33,
0.04,1.5,0.25,-4.76
0.06,1.5,0.14,-5.67
0.08,1.5,-0.02,-5.23
0.1,1.5,-0.08,-3.81
0.12,1.5,-0.16,-1.57
0.14,1.49,-0.18,1.41
0.16,1.49,-0.11,4.39
0.18,1.49,0.04,4.84
0.2,1.49,0.15,2.14
0.22,1.5,0.14,-1.32
0.24,1.5,0.05,-3.08
0.26,1.5,-0.01,-3.61
0.28,1.5,-0.07,-3.28
0.3,1.5,-0.18,-1.36
0.32,1.49,-0.18,1.88
0.34,1.48,-0.06,3.41
0.36,1.49,0.04,1.76
0.38,1.49,0.01,-0.55
0.4,1.49,-0.04,-1.07
0.42,1.49,-0.05,-0.06
0.44,1.49,-0.03,1.09
0.46,1.48,-0.01,1.34
0.48,1.49,0.05,-0.43
0.5,1.49,0.03,-5.39
0.52,1.49,-0.12,-12.81
0.54,1.48,-0.48,-17.83
0.56,1.48,-0.97,-17.11
0.58,1.44,-1.26,-11.36
0.6,1.41,-1.4,-5.95
0.62,1.39,-1.42,-3.39
0.64,1.36,-1.52,-1.97
0.66,1.33,-1.54,-1.61
0.68,1.3,-1.52,-2.14
0.7,1.27,-1.62,-3.61
0.72,1.23,-1.7,-4.22
0.74,1.2,-1.79,-3.71
0.76,1.16,-1.85,-3.44
0.78,1.12,-1.91,-3.1
0.8,1.08,-1.99,-2.86
0.82,1.05,-2.03,-2.73
0.84,1.0,-2.09,-2.27
0.86,0.96,-2.14,-1.62
0.88,0.92,-2.14,-1.1
0.9,0.87,-2.16,-1.4
0.92,0.83,-2.2,-2.26
0.94,0.79,-2.26,-2.61
0.96,0.74,-2.32,-2.31
0.98,0.69,-2.35,-1.44
1.0,0.65,-2.38,-0.74
1.02,0.6,-2.37,-0.85
1.04,0.55,-2.39,-1.44
1.06,0.51,-2.44,-1.8
1.08,0.45,-2.48,-1.39
1.1,0.4,-2.5,-0.89
1.12,0.35,-2.5,-0.84
1.14,0.3,-2.53,0.65
1.16,0.25,-2.55,5.7
1.18,0.2,-2.37,208.92
1.2,0.15,-1.98,513.41
