"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.320,1.36,-0.09,0.92,0.320,1.40,0.62,-1.69,0.320,1.51,0.07,-1.54,0.320,1.43,0.08,2.23,0.320,1.49,0.01,-7.81,0.320,1.41,-0.26,-4.72,0.320,1.40,-0.12,-2.01,0.320,1.42,0.05,-2.05,0.320,1.42,0.04,0.26,0.320,1.42,-0.02,-7.10
0.340,1.36,-0.03,1.88,0.340,1.42,0.11,-9.63,0.340,1.51,-0.01,-3.61,0.340,1.43,0.17,-0.17,0.340,1.49,-0.25,-8.80,0.340,1.41,-0.14,-1.14,0.340,1.39,-0.14,0.49,0.340,1.41,0.01,-2.59,0.340,1.43,0.04,-0.34,0.340,1.45,-0.41,-10.33
0.360,1.36,0.00,6.02,0.360,1.41,-0.21,-3.11,0.360,1.51,-0.10,-4.23,0.360,1.44,0.13,-2.10,0.360,1.48,-0.54,-2.16,0.360,1.41,-0.10,-3.08,0.360,1.39,-0.07,2.07,0.360,1.41,-0.03,-3.55,0.360,1.43,0.02,-0.72,0.360,1.44,-0.65,-1.75
0.380,1.36,0.02,10.86,0.380,1.38,0.03,4.07,0.380,1.51,-0.21,-2.95,0.380,1.45,-0.05,-0.33,0.380,1.46,-0.43,6.36,0.380,1.41,-0.31,-4.52,0.380,1.39,-0.02,2.02,0.380,1.42,-0.07,-6.24,0.380,1.43,0.00,-0.83,0.380,1.38,-0.70,14.87
0.400,1.36,0.58,6.85,0.400,1.42,0.33,-1.95,0.400,1.51,-0.25,-0.70,0.400,1.44,0.05,3.67,0.400,1.45,-0.07,7.57,0.400,1.41,-0.46,-0.39,0.400,1.39,0.01,1.08,0.400,1.41,-0.29,-6.81,0.400,1.43,-0.01,-0.61,0.400,1.41,0.06,20.61
0.420,1.36,0.69,-3.18,0.420,1.42,0.06,-10.81,0.420,1.49,-0.22,0.75,0.420,1.43,0.22,4.23,0.420,1.46,0.04,1.30,0.420,1.38,-0.32,4.67,0.420,1.39,0.02,0.15,0.420,1.40,-0.47,-4.55,0.420,1.43,-0.03,-0.16,0.420,1.39,0.67,10.67
0.440,1.42,0.15,-7.08,0.440,1.41,-0.47,-10.69,0.440,1.49,-0.17,1.02,0.440,1.46,0.31,-0.42,0.440,1.47,-0.10,-4.28,0.440,1.38,-0.13,3.67,0.440,1.39,0.01,-0.94,0.440,1.39,-0.45,-1.44,0.440,1.42,-0.02,0.02,0.440,1.44,0.46,-6.16
0.460,1.37,0.07,2.29,0.460,1.40,-0.47,-4.51,0.460,1.49,-0.19,0.91,0.460,1.45,0.20,-5.05,0.460,1.45,-0.24,-5.11,0.460,1.39,-0.08,0.32,0.460,1.39,-0.01,-2.38,0.460,1.38,-0.46,-1.17,0.460,1.42,-0.01,0.22,0.460,1.44,0.18,-11.98
0.480,1.36,0.35,7.02,0.480,1.39,-0.42,-2.26,0.480,1.49,-0.15,1.45,0.480,1.46,0.01,-7.84,0.480,1.45,-0.30,-4.53,0.480,1.38,-0.26,1.32,0.480,1.39,-0.07,-3.60,0.480,1.38,-0.47,-2.97,0.480,1.43,-0.03,0.32,0.480,1.42,-0.20,-7.99
0.500,1.43,0.77,-2.85,0.500,1.39,-0.53,-4.59,0.500,1.48,-0.13,1.39,0.500,1.46,-0.09,-8.25,0.500,1.45,-0.37,-3.75,0.500,1.38,-0.16,4.37,0.500,1.39,-0.17,-3.68,0.500,1.36,-0.59,-3.04,0.500,1.42,0.01,0.55,0.500,1.43,-0.11,-3.53
